area_name,calendar_date,precipitation,avg_temperature,total_snowfall,deepest_snowfall,hours_sunlight,avg_wind_speed,avg_vapor_pressure,avg_humidity,avg_sea_pressure,avg_local_pressure,solar_radiation,cloud_cover,high_temperature,low_temperature
fukuoka_dazaifu-kana_dasaif,1/1/16,0,5.7,,,5.1,1.9,,,,,,,11,2.1
fukuoka_dazaifu-kana_dasaif,1/2/16,0.5,10.2,,,1.3,2.2,,,,,,,15.3,6.1
fukuoka_dazaifu-kana_dasaif,1/3/16,0,11.2,,,0.5,0.9,,,,,,,15.5,7.1
fukuoka_dazaifu-kana_dasaif,1/4/16,0,9.4,,,4.2,1.8,,,,,,,16.1,5.9
fukuoka_dazaifu-kana_dasaif,1/5/16,1.5,8.8,,,0,0.8,,,,,,,12.3,7.1
fukuoka_dazaifu-kana_dasaif,1/6/16,0,8.1,,,0,0.9,,,,,,,12,5.4
fukuoka_dazaifu-kana_dasaif,1/7/16,0,8.1,,,1.2,1.9,,,,,,,10.2,6.4
fukuoka_dazaifu-kana_dasaif,1/8/16,0,6.4,,,0,2.3,,,,,,,7.7,5.2
fukuoka_dazaifu-kana_dasaif,1/9/16,0,5.7,,,0.1,1,,,,,,,8.1,3.2
fukuoka_dazaifu-kana_dasaif,1/10/16,0,5.8,,,4.6,1.1,,,,,,,10.5,3.3
fukuoka_dazaifu-kana_dasaif,1/11/16,0,7.2,,,1.5,1.2,,,,,,,11,3.4
fukuoka_dazaifu-kana_dasaif,1/12/16,1,5.4,,,0.3,0.8,,,,,,,8.1,0.8
fukuoka_dazaifu-kana_dasaif,1/13/16,0.5,3.8,,,0.3,1.4,,,,,,,6.4,0.2
fukuoka_dazaifu-kana_dasaif,1/14/16,0,5.1,,,0.2,1.8,,,,,,,7.8,0.9
fukuoka_dazaifu-kana_dasaif,1/15/16,0,3.8,,,9,1,,,,,,,10.3,-0.3
fukuoka_dazaifu-kana_dasaif,1/16/16,0,5.3,,,7.9,1.1,,,,,,,13.1,-1.1
fukuoka_dazaifu-kana_dasaif,1/17/16,27.5,6.4,,,0,1.2,,,,,,,8.7,2.6
fukuoka_dazaifu-kana_dasaif,1/18/16,10.5,6,,,1.9,3.9,,,,,,,9.6,0.5
fukuoka_dazaifu-kana_dasaif,1/19/16,4,1.3,,,0.3,5.2,,,,,,,2.9,-0.4
fukuoka_dazaifu-kana_dasaif,1/20/16,0,1.8,,,2.7,2.5,,,,,,,5,-1.2
fukuoka_dazaifu-kana_dasaif,1/21/16,0,1.4,,,0.1,2.4,,,,,,,5.2,-1.8
fukuoka_dazaifu-kana_dasaif,1/22/16,1,4.1,,,1.3,1,,,,,,,8,-0.4
fukuoka_dazaifu-kana_dasaif,1/23/16,9,2.2,,,0,2.3,,,,,,,5.3,-2.1
fukuoka_dazaifu-kana_dasaif,1/24/16,6,-4,,,0,4.3,,,,,,,-1.7,-5.1
fukuoka_dazaifu-kana_dasaif,1/25/16,6,-2.1,,,0,1.6,,,,,,,0.7,-5.6
fukuoka_dazaifu-kana_dasaif,1/26/16,0,1.5,,,0.3,,,,,,,,4,0
fukuoka_dazaifu-kana_dasaif,1/27/16,0,4,,,0.4,1.3,,,,,,,7.5,0.8
fukuoka_dazaifu-kana_dasaif,1/28/16,3.5,7.2,,,0,1.8,,,,,,,13.9,4
fukuoka_dazaifu-kana_dasaif,1/29/16,30,11.6,,,0,2.1,,,,,,,14.8,10
fukuoka_dazaifu-kana_dasaif,1/30/16,0.5,10.5,,,5.4,2.2,,,,,,,14.4,5.8
fukuoka_dazaifu-kana_dasaif,1/31/16,1,8.2,,,5.4,1.5,,,,,,,12.7,4.9
fukuoka_dazaifu-kana_dasaif,2/1/16,0.5,5.8,,,0,1.6,,,,,,,8.3,4.2
fukuoka_dazaifu-kana_dasaif,2/2/16,0.5,4.7,,,2.3,1.6,,,,,,,9,1.6
fukuoka_dazaifu-kana_dasaif,2/3/16,2.5,5.4,,,1.4,1.3,,,,,,,9.1,0.9
fukuoka_dazaifu-kana_dasaif,2/4/16,0,4.6,,,6.9,1.6,,,,,,,10.7,-0.3
fukuoka_dazaifu-kana_dasaif,2/5/16,0,4.7,,,2.9,1.4,,,,,,,9.9,1.1
fukuoka_dazaifu-kana_dasaif,2/6/16,0,4,,,1.4,1.7,,,,,,,6.9,0.6
fukuoka_dazaifu-kana_dasaif,2/7/16,3.5,3.4,,,1.8,1,,,,,,,7.4,0.5
fukuoka_dazaifu-kana_dasaif,2/8/16,0.5,5,,,4.3,2,,,,,,,10.1,-0.7
fukuoka_dazaifu-kana_dasaif,2/9/16,0,7.7,,,9.5,2.9,,,,,,,11.8,2.1
fukuoka_dazaifu-kana_dasaif,2/10/16,0,5.8,,,10,1.4,,,,,,,13.5,0
fukuoka_dazaifu-kana_dasaif,2/11/16,0,8.7,,,8.2,1.5,,,,,,,18,1
